product_name,price,rating,sell,location,kategori
realme 11 Pro Plus 12+12 GB 512 GB - 200 MP - Supervooc,Rp6.299.000,5.0,30+ terjual,Kab. Tangerang,realme
Handphone & tablet/handphone/android OS/   GA - Go@ld,Rp6.299.000,,,Kab. Malang,realme
realme C51s 6GB+6GB*|128GB 50MP AI Camera 7.49mm HP ANDROID ,Rp1.536.000,5.0,9 terjual,Kab. Tangerang,realme
realme Note 50,Rp1.195.500,5.0,750+ terjual,Jakarta Pusat,realme
Realme note 50 New • Garansi resmi indonesia,Rp1.195.500,5.0,40+ terjual,Surabaya,realme
HP REALME C53 6/128 GB - REALME C 53 RAM 6GB ROM 128GB GARANSI RESMI,Rp1.195.500,5.0,40+ terjual,Jakarta Timur,realme
REALME C53 NFC 6/128 | REALME C 53 8/256 GARANSI RESMI REALME,Rp1.149.900,5.0,250+ terjual,Jakarta Barat,realme
Realme C67 8/128 GB + 8/256 GB Garansi Resmi,Rp2.120.000,5.0,100+ terjual,Jakarta Barat,realme
Realme 12 Pro Plus Pro+ 12/512 GB 8/256 GB Realme 12+ Garansi Resmi,Rp3.093.000,5.0,250+ terjual,Jakarta Pusat,realme
Realme C65 Garansi Resmi New,Rp2.081.000,5.0,1rb+ terjual,Jakarta Selatan,realme
Realme 12 Pro Plus 5G 12/512 GB Garansi Resmi 12 512 GB Beige Blue,Rp4.959.000,5.0,250+ terjual,Jakarta Pusat,realme
realme c51s 6/128gb,Rp4.959.000,5.0,30+ terjual,Pasuruan,realme
Realme C53 Ram 6 128GB,Rp4.959.000,4.9,250+ terjual,Tangerang,realme
Realme C67 8/256GB 8/128GB Garansi Resmi,Rp2.059.000,5.0,250+ terjual,Jakarta Pusat,realme
Realme 10 Pro 5G 8/128 + 8/256 GB Garansi Resmi,Rp2.957.000,4.9,100+ terjual,Jakarta Barat,realme
Realme C53 NFC 6/128 Ram 6gb 128gb new garansi resmi,Rp2.957.000,4.9,250+ terjual,Depok,realme
Realme Note 50 4/128 GB New Segel Garansi Resmi Realme Termurah,Rp2.957.000,5.0,70+ terjual,Surabaya,realme
Realme C53 6/128GB LTE 33W NFC Garansi Resmi not C55 C35 C33 C30,Rp2.957.000,4.9,750+ terjual,Jakarta Pusat,realme
Realme C65 NFC 8/256 8/128 GB Garansi Resmi 45 Watt Fast Charge,Rp2.957.000,4.9,100+ terjual,Jakarta Pusat,realme
Realme Note 50 4/64 Garansi Resmi,Rp2.957.000,5.0,100+ terjual,Kab. Demak,realme
