product_name,price,rating,sell,location,kategori
"vivo Y36 (8/256) - 44W FlashCharge+5000mAh, NFC Multifunctions",Rp2.260.000,4.9,100+ terjual,Kab. Tangerang,vivo
VIVO X100 Ultra 5G Snapdragon 8 Gen 3,Rp2.260.000,5.0,5 terjual,Bekasi,vivo
vivo Y100 5G (8/256) 80W FlashCharge + Amoled 120Hz + 50MP Wide Camera,Rp3.899.000,4.8,70+ terjual,Kab. Tangerang,vivo
Vivo Y100 5G 8/256 GB 8/128 GB Garansi Resmi Y 100 Not Y27 Y35 Y36,Rp2.971.000,4.9,250+ terjual,Jakarta Pusat,vivo
VIVO Y27S 8/128 GB | VIVO Y27S 8/256 GB GARANSI RESMI VIVO INDONESIA,Rp1.449.900,5.0,90+ terjual,Jakarta Barat,vivo
Vivo Y17S 6/128 4/128 4/64 GB Garansi Resmi 6 128GB 4 64 GB,Rp1.449.900,4.9,500+ terjual,Jakarta Pusat,vivo
Vivo Y100 5G 8/128 GB + 8/256 GB Garansi Resmi Vivo Indoensia,Rp3.240.000,5.0,250+ terjual,Jakarta Barat,vivo
Vivo V30e 5G NFC 8/256 GB 8/128 GB Garansi Resmi Not V27 e V29 e,Rp3.658.000,4.9,250+ terjual,Jakarta Pusat,vivo
Vivo Y03 ( 4/64 - 4/128 - 6/128 ) Garansi Resmi New,Rp1.145.000,4.9,1rb+ terjual,Jakarta Selatan,vivo
Smartphone VIVO Y17 RAM 8GB + 256GB,Rp1.145.000,4.8,500+ terjual,Jakarta Barat,vivo
"vivo Y36 5G (8/256) - 44W FlashCharge+5000mAh, NFC Multifunctions",Rp2.502.000,4.9,1rb+ terjual,Kab. Tangerang,vivo
VIVO Y03 RAM 4/64 - GARANSI RESMI,Rp1.164.000,5.0,30+ terjual,Jakarta Timur,vivo
Vivo V29e 8/256 GB 5G V29 e 8GB 256GB Garansi Resmi nott V27 V25 ,Rp3.426.000,4.9,250+ terjual,Jakarta Pusat,vivo
"vivo Y27 (6/128) - 50MP Camera, 44W FlashCharge+5000mAH",Rp1.697.000,4.9,500+ terjual,Kab. Tangerang,vivo
Vivo Y27s 8/256 8/128 GB NFC Garansi Resmi 8 256 128 GB Black,Rp1.362.000,5.0,100+ terjual,Jakarta Pusat,vivo
smartphone VIVO Y19 ram 8+256 GB,Rp1.362.000,4.8,250+ terjual,Jakarta Barat,vivo
VIVO V30E 5G NFC 8/128 & 8/256 NEW GARANSI RESMI,Rp3.899.000,5.0,8 terjual,Medan,vivo
Vivo Y100 5G NFC 8/256GB 8/128GB Garansi Resmi 128 GB 256 GB,Rp2.550.000,5.0,250+ terjual,Jakarta Pusat,vivo
VIVO Y03 RAM 4/64 GB | VIVO Y 03 RAM 4/128 GB GARANSI RESMI VIVO,Rp1.219.000,4.9,250+ terjual,Jakarta Barat,vivo
VIVO Y03 4/128 4/64 GB Garansi Resmi 4 128 GB 4 64 GB not y02 t,Rp1.165.000,4.9,250+ terjual,Jakarta Pusat,vivo
VIVO Y100 5G 8/256 & 8/128 NEW GARANSI RESMI,Rp3.099.000,5.0,23 terjual,Medan,vivo
"vivo Y22 (4/128) - Helio G85, 50MP Camera, Splash Waterproof",Rp1.367.000,4.9,2rb+ terjual,Kab. Tangerang,vivo
vivo Y03 4/64 4/128 garansi Resmi,Rp1.367.000,4.9,100+ terjual,Kab. Bondowoso,vivo
vivo y17s 4/64,Rp1.367.000,5.0,90+ terjual,Kab. Banyumas,vivo
Vivo Y03 4/128 GB 4/64 GB Y 03 Garansi Resmi Not Y02 t Y17 s Y27 s,Rp1.165.000,4.9,500+ terjual,Jakarta Pusat,vivo
vivo Y100 5G,Rp1.165.000,5.0,100+ terjual,Jakarta Pusat,vivo
VIVO Y03 4/64 & 4/128 NEW GARANSI RESMI,Rp1.165.000,5.0,27 terjual,Medan,vivo
vivo y67 4/32gb original,Rp1.165.000,4.9,100+ terjual,Jakarta Pusat,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
vivo y67 4/32gb original,Rp1.165.000,,,,vivo
