product_name,price,rating,sell,location,kategori
Xiaomi Redmi 10 5G 4/128GB + 6/128GB Garansi Resmi,Rp3.792.000,5.0,1rb+ terjual,Jakarta Barat,xiaomi
Xiaomi Poco X6 5G 12/256 Garansi Resmi,Rp3.700.000,4.9,250+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi 13 NFC 8/128 GB 8/256 GB Extended RAM 8+8GB Garansi Resmi,Rp3.700.000,5.0,30+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi A3 4/128GB Garansi Resmi ,Rp1.121.000,4.9,90+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi Note 13 5G 8/256GB Garansi Resmi Xiaomi,Rp2.832.500,5.0,30+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi Pad SE 4GB 128GB Gray Green Garansi Resmi - Graphite Gray,Rp2.832.500,5.0,100+ terjual,Jakarta Pusat,xiaomi
"Xiaomi Redmi Note 13 8GB/128GB 8/256GB 120 Hz FHD+ AMOLED Garansi Resmi - Promo Black, 8/128GB",Rp2.231.000,5.0,50+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi Note 13 5G / LTE 8/256 GB Garansi Resmi 8 256 GB Not 12,Rp2.250.000,4.9,750+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi 13C 4/128 GB 6/128 GB 8/256 GB Garansi Resmi,Rp2.250.000,5.0,750+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi 13C 6/128 8/256 GB Garansi Resmi 6 128 8 256 GB not 12c,Rp1.493.000,4.9,250+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi 12 8/256 GB 8/128 GB Garansi Resmi Not Redmi 10 10A 12C,Rp2.038.000,5.0,750+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi 13C 6/12GB 8/256GB Garansi Resmi Not Redmi 12C 12 13,Rp1.493.000,5.0,500+ terjual,Jakarta Pusat,xiaomi
Xiaomi Mi 14 5G 12/256GB Leica SD 8 Gen 3 Garansi Resmi Not 13T Ultra,Rp11.082.000,5.0,250+ terjual,Jakarta Pusat,xiaomi
Redmi Note 13 Pro Plus 5G 12/512 GB Garansi Resmi Xiaomi Not 12,Rp5.559.000,5.0,250+ terjual,Jakarta Pusat,xiaomi
Xiaomi REDMI NOTE 13 5G 8/256 GB - Garansi Resmi,Rp2.824.000,5.0,100+ terjual,Jakarta Timur,xiaomi
Xiaomi Poco M6 Pro 8/256 Garansi Resmi,Rp2.824.000,5.0,250+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi Note 13 5G AMOLED MediaTek Dimensity 6080 Garansi Resmi ,Rp2.824.000,4.9,100+ terjual,Surabaya,xiaomi
Xiaomi REDMI NOTE 13 Pro 5G 8/256 - Garansi Resmi,Rp4.147.000,5.0,100+ terjual,Jakarta Timur,xiaomi
Official Xiaomi Redmi Note 13 5G | Tiga kamera 108 MP FHD+ AMOLED,Rp4.147.000,4.9,1rb+ terjual,Kab. Tangerang,xiaomi
Xiaomi Poco X6 Pro 5G NFC - 12GB 512GB (12/512) AMOLED Garansi Resmi,Rp4.826.000,5.0,500+ terjual,Jakarta Utara,xiaomi
Xiaomi Poco C65 8/256 6/128 GB Garansi Resmi Black Purple Blue,Rp1.388.000,5.0,250+ terjual,Jakarta Pusat,xiaomi
Redmi Note 13 5G 8/256 GB 8GB 256GB Garansi Resmi Xiaomi Not 12 pro,Rp2.250.000,4.9,500+ terjual,Jakarta Pusat,xiaomi
Xiaomi POCO X6 Pro 5G 12/512 12/256 GB Garansi Resmi not x5,Rp3.792.000,5.0,1rb+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi Note 13 Pro 5G 8GB 256GB / 4G 8GB 256GB,Rp3.637.000,5.0,100+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi 12 8/256 GB 8/128 GB Garansi Resmi Not 10C 10A,Rp2.038.000,4.9,1rb+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi A3 4/128 GB 4/64 GB Garansi Resmi Redmi A3 Not A1 A2 ,Rp1.140.000,5.0,750+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi 13C 6/128GB | 8/256GB Original Garansi Resmi Xiaomi,Rp1.763.000,5.0,7 terjual,Surabaya,xiaomi
Xiaomi Poco X5 5G 6/128GB + 8/256 GB Garansi Resmi,Rp2.861.000,5.0,1rb+ terjual,Jakarta Barat,xiaomi
Xiaomi Redmi A3 Smartphone 4/128Gb Garansi Resmi,Rp1.159.000,5.0,90+ terjual,Jakarta Pusat,xiaomi
XIAOMI REDMI A3 4/128 GB RESMI XIAOMI INDONESIA REDMI A3 128 GB,Rp1.132.000,5.0,100+ terjual,Tangerang,xiaomi
Xiaomi Redmi Note 12 Pro 4G 6/128 GB Garansi Resmi,Rp2.867.000,5.0,60+ terjual,Jakarta Pusat,xiaomi
